area_m2,number_rooms,bathrooms,condominium fees,condition_encoded,heating_encoded,Energy Efficiency Encoded,grid_cell_encoded,price_euro,total_features
65.0,2.0,1.0,120.0,1,1,4,31,220000.0,123.0
65.0,2.0,1.0,125.0,2,1,4,30,220000.0,128.0
80.0,3.0,1.0,180.0,1,1,4,30,363000.0,184.0
52.0,2.0,1.0,140.0,1,0,8,31,319000.0,143.0
80.0,2.0,1.0,200.0,1,0,9,30,450000.0,203.0
103.0,4.0,2.0,180.0,1,0,9,30,154114.0,186.0
70.0,2.0,1.0,180.0,3,0,8,31,95200.0,183.0
70.0,4.0,2.0,250.0,1,0,5,31,440000.0,256.0
96.0,3.0,2.0,270.0,1,0,7,30,630000.0,275.0
95.0,3.0,1.0,250.0,1,0,8,31,848000.0,254.0
115.0,4.0,2.0,180.0,2,0,9,31,210000.0,186.0
95.0,2.0,1.0,200.0,1,0,7,30,360000.0,203.0
94.0,3.0,1.0,250.0,2,0,9,30,570000.0,254.0
103.0,3.0,1.0,250.0,1,0,8,31,648000.0,254.0
80.0,3.0,1.0,180.0,1,0,5,30,363000.0,184.0
65.0,2.0,1.0,180.0,1,1,7,31,425000.0,183.0
50.0,2.0,1.0,100.0,1,0,9,31,259000.0,103.0
50.0,2.0,1.0,100.0,1,0,9,31,279000.0,103.0
75.0,3.0,1.0,200.0,1,0,7,31,525000.0,204.0
70.0,2.0,1.0,180.0,2,0,9,30,380000.0,183.0
104.0,3.0,2.0,180.0,0,1,8,30,395200.0,185.0
142.0,4.0,2.0,180.0,2,0,9,31,790000.0,186.0
95.0,3.0,2.0,230.0,1,0,7,31,705000.0,235.0
80.0,3.0,3.0,180.0,3,0,9,31,363000.0,186.0
38.0,1.0,1.0,100.0,2,0,7,30,235000.0,102.0
80.0,3.0,1.0,180.0,1,1,6,31,363000.0,184.0
38.0,2.0,1.0,125.0,2,0,9,31,285000.0,128.0
80.0,3.0,2.0,180.0,1,0,8,30,363000.0,185.0
128.0,4.0,2.0,200.0,1,1,6,31,885200.0,206.0
80.0,4.0,2.0,200.0,0,1,6,31,363000.0,206.0
80.0,4.0,2.0,200.0,0,1,6,31,1117000.0,206.0
137.0,4.0,2.0,180.0,2,0,9,31,900000.0,186.0
63.0,3.0,1.0,100.0,0,0,4,30,275900.0,104.0
80.0,4.0,2.0,200.0,0,1,6,31,363000.0,206.0
51.0,2.0,1.0,125.0,1,0,9,31,400000.0,128.0
65.0,3.0,1.0,100.0,2,1,8,30,172000.0,104.0
103.0,3.0,2.0,180.0,1,0,6,31,830000.0,185.0
65.0,2.0,1.0,180.0,0,0,8,31,210000.0,183.0
80.0,3.0,1.0,180.0,2,0,9,30,115600.0,184.0
80.0,1.0,1.0,180.0,2,0,8,30,65280.0,182.0
80.0,2.0,1.0,180.0,2,0,8,31,99280.0,183.0
81.0,3.0,1.0,180.0,0,1,8,30,395000.0,184.0
119.0,3.0,2.0,180.0,0,1,8,30,675000.0,185.0
110.0,4.0,2.0,233.0,2,0,6,31,270000.0,239.0
83.0,3.0,1.0,180.0,2,0,9,31,880000.0,184.0
125.0,3.0,2.0,180.0,1,1,8,30,875000.0,185.0
70.0,2.0,1.0,180.0,0,1,8,31,305000.0,183.0
78.0,3.0,1.0,180.0,2,0,9,30,91627.0,184.0
90.0,3.0,1.0,180.0,0,0,9,30,743000.0,184.0
80.0,3.0,3.0,180.0,0,0,9,31,363000.0,186.0
80.0,4.0,2.0,180.0,0,0,9,31,363000.0,186.0
80.0,2.0,2.0,180.0,0,0,9,30,754000.0,184.0
70.0,2.0,1.0,180.0,2,0,9,31,65520.0,183.0
80.0,3.0,1.0,180.0,1,0,9,31,645000.0,184.0
80.0,3.0,1.0,180.0,2,0,9,31,91627.0,184.0
45.0,2.0,1.0,100.0,0,1,8,30,134000.0,103.0
32.698221021843295,2.0,1.0,97.07008116859122,3,2,7,28,221276.1470293054,
45.20107039499587,2.0,1.0,150.25442430244135,1,8,9,39,258826.37376783122,
62.38221995075394,3.0,2.0,236.5432504792409,1,2,5,15,357207.5536341372,
41.21839032475707,3.0,3.0,158.8884970575192,2,6,4,44,257477.56712380087,
69.9261449454394,1.0,1.0,78.95280158389284,2,6,7,2,436805.3564693423,
31.580954760558146,2.0,2.0,129.3083720974142,3,8,5,42,213715.3573050613,
133.25986234376086,3.0,1.0,103.7429226687171,3,8,5,18,901799.1796368604,
26.248755046761325,1.0,1.0,244.70670559397755,0,1,5,7,136639.36445639873,
59.03299601392201,4.0,2.0,163.10010816084167,0,5,4,47,307299.5668910654,
91.2524232968256,1.0,1.0,258.5830577292654,0,7,9,33,475019.6000599639,
78.52571008940353,3.0,1.0,105.4591858105614,1,8,5,37,449646.97986962734,
62.698680687971695,2.0,1.0,222.65849749641453,3,8,6,48,424295.9418858621,
130.9507904680258,3.0,2.0,213.00047109871707,3,6,5,3,886173.1757776577,
90.68493390514692,2.0,2.0,110.88349805293905,0,5,7,7,472065.5022493597,
63.111605580392094,3.0,1.0,232.3320661195885,0,0,5,42,328530.99741169205,
100.030300960125,2.0,1.0,88.16762725933083,1,0,6,3,572784.6672250543,
149.97821243380008,2.0,1.0,223.60691371178604,1,7,5,5,858791.982782767,
55.05333763177272,1.0,1.0,227.22147418705796,2,8,6,18,343899.87876261334,
155.61486225646658,3.0,1.0,250.18004429790406,0,8,4,19,810061.8806802096,
72.69107564227626,1.0,1.0,132.3104357225581,0,3,9,49,378397.46531666996,
125.56974471386341,3.0,1.0,148.88717355462697,0,5,8,45,653660.3386365756,
100.70626768302829,2.0,1.0,131.6818663708425,2,8,5,33,629078.539769425,
155.71731577031284,2.0,1.0,215.48126759085497,3,0,8,18,1053773.7706397737,
122.10630176142244,2.0,1.0,239.2515878664093,2,4,4,47,762757.4308531911,
81.89907858628115,3.0,1.0,172.94231487527784,2,9,9,13,511596.2884026313,
155.2670199023054,2.0,1.0,88.85030797717715,1,5,9,12,889076.2846071991,
130.1949632091215,3.0,1.0,271.7696331488553,0,8,6,47,677737.1725488196,
145.74967167744185,4.0,1.0,259.6784430042086,3,2,8,45,986320.5022079374,
121.03850029716548,4.0,1.0,273.0952169415503,2,4,5,25,756087.2304639494,
103.98531417136257,2.0,1.0,91.62138745656776,2,2,4,37,649561.6519348958,
50.27905754138651,1.0,1.0,169.42704862389178,3,7,9,38,340249.58488079754,
72.3247811408531,1.0,1.0,97.25317666523598,0,4,7,34,376490.69877520273,
21.05686283765712,3.0,1.0,80.87995342026872,0,2,4,16,109612.67879019007,
158.4258034811867,2.0,2.0,153.57659829882817,0,6,5,38,824694.3926521417,
87.71231917041715,1.0,2.0,241.12829544924514,3,7,5,48,593568.80669652,
81.1955493627966,1.0,1.0,106.87493015710152,0,1,7,5,422667.9795615511,
28.077431540729325,2.0,1.0,189.63322945032218,0,8,6,27,146158.64236070347,
78.1823167777072,2.0,1.0,110.47969034219089,3,1,8,5,529077.1571590663,
53.88316512704617,2.0,1.0,215.8127729525886,2,5,7,9,336590.200552031,
146.4433660049155,1.0,1.0,219.4403362820932,1,4,6,23,838551.0576228254,
122.35725408301836,2.0,1.0,238.6349285678469,0,0,4,6,636937.5387423016,
156.5099878046394,1.0,1.0,197.36466805700363,0,4,5,28,814721.506852694,
62.44507752128755,2.0,1.0,175.3878459248889,0,6,8,1,325061.3482711459,
77.23690209923443,2.0,1.0,123.45169307282846,0,4,7,43,402061.01952719566,
134.2536881809364,2.0,1.0,175.53966371944037,1,5,9,7,768751.6019681658,
94.0790021798625,3.0,2.0,150.29215853914474,2,9,9,8,587680.2176856605,
45.82381542609724,2.0,1.0,267.28583059412415,1,0,7,49,262392.28131766105,
75.51093507860263,3.0,2.0,264.5044454618394,0,4,7,25,393076.40153858246,
87.255680276606,3.0,1.0,166.79494485355332,1,0,4,8,499635.7634738545,
24.351255982884943,2.0,1.0,94.51820070913017,2,1,8,12,152114.1921720367,
85.85086355003703,1.0,2.0,98.16255667213221,0,4,9,42,446901.4782839171,
140.3920591795599,4.0,1.0,144.91741218565443,1,8,7,4,803900.5993819801,
63.9948310006362,2.0,1.0,77.84258663372408,1,3,7,34,366441.544481955,
105.57259029568124,3.0,1.0,227.010093236537,0,3,6,42,549564.0313728902,
142.60998467874236,4.0,1.0,185.49490460241157,0,3,6,20,742364.2621117146,
131.22946068535802,2.0,2.0,83.34207033475931,1,5,8,20,751434.5378081946,
96.8548811453876,2.0,1.0,261.9273887432622,1,8,5,42,554601.8589716906,
23.154556367848038,1.0,2.0,138.24415527220094,0,3,8,28,120532.33994284163,
86.83203912464668,2.0,1.0,224.28585572091762,3,2,4,30,587611.7554947208,
77.31306265240022,2.0,1.0,239.5892310605413,0,2,9,23,402457.47755206894,
125.58738450614881,4.0,1.0,219.5522864644639,1,8,7,41,719127.3799195564,
138.26890568927615,2.0,3.0,92.53427628618473,2,1,8,27,863719.8387721104,
44.584335276237525,3.0,1.0,77.581260119462,0,9,6,32,232086.25422437873,
64.02853281072991,3.0,2.0,100.30200997013674,2,1,7,2,399964.93615402636,
40.49327256299853,3.0,2.0,192.24343140211073,3,8,6,26,274026.99759605114,
92.96550857375703,3.0,3.0,89.66306320792539,2,8,9,46,580724.5936923639,
87.26770724569539,3.0,1.0,141.5932455131035,2,2,5,21,545132.3249903298,
105.79873029058157,2.0,1.0,226.32816777150776,1,4,9,3,605815.337359436,
115.99214402511704,1.0,1.0,131.4220192264785,3,3,5,28,784944.6824156088,
107.58549521615262,2.0,1.0,109.66530380067792,3,6,9,13,728055.0168697833,
66.18214080617994,3.0,1.0,270.82353754070755,0,7,7,43,344514.8404947339,
104.5298046207037,3.0,1.0,100.07517168417016,0,9,5,1,544135.7521406244,
85.94994197546536,2.0,2.0,86.67045749405904,2,0,7,6,536900.6838916411,
84.58538487497248,1.0,1.0,90.63412896471156,0,4,8,7,440313.9581677857,
123.74182735052902,3.0,1.0,271.61531904953495,0,9,7,2,644145.0124292992,
155.551258650283,2.0,2.0,269.8490214395272,0,8,5,36,809730.7885461035,
77.9355736049944,1.0,1.0,136.96975779294803,3,2,8,36,527407.3911333489,
82.26126321029444,2.0,1.0,272.1471246305888,3,2,6,23,556680.2964839517,
45.27482834912732,3.0,1.0,144.8905447082157,1,1,9,39,259248.72004497802,
72.76121925400145,2.0,1.0,171.65985549066426,3,0,9,22,492391.38236066425,
21.11514926648873,1.0,1.0,108.97264817310368,1,0,8,49,120907.70126578235,
103.79514135944596,3.0,3.0,152.2314944696897,3,0,8,40,702404.8478061687,
82.82471007770596,3.0,1.0,230.97837642565116,3,3,4,46,560493.2669753208,
48.72513971315139,2.0,2.0,201.06210048394138,0,3,9,16,253641.4436263217,
98.47724819706143,3.0,1.0,156.09237898641717,3,0,8,15,666417.4799154246,
153.00805151973887,1.0,1.0,146.55254754523918,2,1,8,15,955790.3776750102,
76.68773376073615,1.0,1.0,120.07431976211149,2,3,4,45,479042.7515819903,
76.00920939314545,3.0,1.0,145.20326777606752,0,1,5,34,395670.1963887683,
58.71601479417953,4.0,2.0,138.2630700400539,3,5,6,20,397344.3544189279,
112.82821069422624,3.0,2.0,268.45793095700895,1,6,7,13,646066.926679073,
105.94810198124817,2.0,2.0,124.40751787470847,2,5,4,14,661822.5341791512,
122.37227321528138,3.0,1.0,251.30033475327065,0,8,6,18,637015.7216764427,
37.94450846393531,1.0,2.0,197.3567704445015,2,0,4,27,237026.71666764352,
120.13671687555951,2.0,3.0,82.00905353138444,0,1,9,37,625378.4079477766,
141.15522668513813,2.0,1.0,90.63736773903246,3,6,8,25,955228.8692730474,
38.92622171465347,2.0,2.0,83.3742602087342,3,4,5,23,263422.4153562663,
110.85432004601472,1.0,2.0,119.81520961197137,3,2,9,2,750175.8828087106,
114.39665231946907,4.0,1.0,181.91507987434488,1,1,6,40,655047.9984718567,
30.540347448917007,3.0,1.0,78.51396219125095,2,4,4,45,190775.38686753833,
28.342471848359565,1.0,1.0,237.77679627973984,3,2,7,23,191799.82188333798,
147.00772986228586,3.0,1.0,154.0754156421072,0,9,8,28,765256.9709601944,
102.81370591803051,2.0,1.0,126.33026053140009,1,6,5,20,588722.7546572016,
104.19978306079419,4.0,2.0,249.1753179386233,0,6,4,12,542417.8064276711,
92.57411674981458,2.0,1.0,251.52688032013722,2,7,8,28,578279.6992210647,
36.46891360479333,2.0,2.0,127.24175777386142,1,2,4,26,208825.0694307888,
58.85487777628637,3.0,3.0,222.5115739856701,3,3,6,47,398284.0711584128,
86.59934894239518,2.0,1.0,243.18386278537852,0,9,7,13,450797.7609127321,
49.49672633289629,2.0,2.0,92.29497761385967,3,8,5,22,334955.37528450624,
108.9423411514592,2.0,2.0,249.4327256111889,3,2,8,14,737237.0956280268,
147.01348450957414,2.0,1.0,127.45142686289202,0,9,9,34,765286.9270989423,
118.39207918647226,4.0,2.0,132.54338231281707,3,1,5,39,801185.578373529,
33.43439599966258,4.0,1.0,90.11912498232495,2,6,6,49,208853.54504191442,
46.47868353986228,3.0,3.0,209.34323915047597,2,2,8,38,290336.8682442919,
89.80924681060363,2.0,1.0,194.34597493991765,0,0,4,36,467507.06403589365,
39.3099457805545,3.0,2.0,153.30108740206578,2,0,8,3,245556.14917515212,
79.82423842687837,2.0,3.0,185.01371049272237,1,3,4,43,457082.49805285584,
94.85997538058953,1.0,2.0,148.96434777279376,2,8,4,10,592558.6973673695,
98.53795508996016,2.0,1.0,117.76552784771899,2,0,6,25,615533.812602053,
78.38424268403753,2.0,1.0,156.52646552277693,0,0,7,25,408033.56519815204,
153.97702802588938,3.0,1.0,148.21614967621042,1,4,8,32,881689.6471527091,
70.7100829736023,2.0,1.0,268.56043259914907,1,0,4,3,404893.82673791924,
87.8587905987691,2.0,1.0,135.06080579216572,0,2,4,42,457353.8549899665,
37.70454452340155,1.0,1.0,135.1990736193443,1,7,6,10,215900.42997389194,
151.5876171949705,4.0,1.0,251.69034185459992,1,8,9,23,868007.6140635816,
113.44598510263762,2.0,1.0,179.54673349363168,2,3,9,2,708659.3147875977,
127.55650387317567,3.0,3.0,93.80097447888969,0,8,7,17,664002.5247087432,
108.5702904436297,3.0,1.0,103.2403243516217,1,3,9,8,621685.600117025,
37.65107755621829,2.0,1.0,177.5928270711888,1,1,4,43,215594.27215259528,
155.58016853817733,1.0,1.0,88.72086054984281,0,8,4,1,809881.2805866346,
65.46903494485684,1.0,2.0,116.28646685563822,1,3,4,19,374883.00079576625,
38.028924787868945,3.0,1.0,83.63972434874019,3,2,5,5,257350.2071291741,
40.16206640056078,2.0,3.0,226.20838821608513,3,4,6,45,271785.6516999662,
100.986860136284,1.0,2.0,115.7617416158322,3,2,8,35,683400.5830658665,
25.71777876010067,2.0,2.0,235.71840012330009,2,3,7,3,160650.40519065704,
22.083421312396965,3.0,3.0,89.50018359699503,2,6,4,40,137947.78370737785,
54.79886662786459,2.0,1.0,126.33116180284796,0,8,9,11,285258.5692396956,
143.69031647157834,1.0,2.0,88.41433545684816,2,7,9,20,897585.5877159137,
113.14067457712378,2.0,1.0,98.41384702234006,1,7,5,41,647856.1297452186,
91.87395553313591,3.0,2.0,224.77788402192692,3,1,6,6,621731.527202455,
102.54212475987227,4.0,1.0,103.19783475262618,1,7,6,39,587167.6506356484,
125.4814784395846,1.0,1.0,264.02688151785355,1,6,6,41,718520.9499627149,
58.03416306349253,3.0,3.0,157.20698048979943,3,9,6,42,392730.1118364066,
61.64704359641963,3.0,2.0,76.02482853914405,1,5,7,19,352997.85177952645,
149.5793909978704,2.0,2.0,247.9505606460716,3,8,8,36,1012237.0661354373,
56.49471051392811,1.0,2.0,102.56605563933236,2,6,8,21,352903.6554771224,
125.61343323239187,2.0,2.0,159.4759964778511,3,5,7,43,850054.090166514,
80.11511260110342,4.0,3.0,166.9255651238592,0,2,4,2,417043.7054887394,
134.0078946327544,3.0,1.0,237.69471924925503,3,2,7,7,906861.2808028972,
62.38866895152606,3.0,1.0,217.01719524014473,3,4,9,23,422198.02339272056,
159.05825462561955,3.0,2.0,191.24497942002404,3,7,5,27,1076382.6482563545,
85.63002270694525,1.0,1.0,245.10023367679094,3,3,6,24,579477.4425791263,
90.19442861660032,1.0,1.0,265.23339474956936,0,0,4,32,469512.14949910116,
138.1451261660919,2.0,2.0,274.9762058529595,1,8,5,4,791034.4101768781,
51.4995333663218,2.0,1.0,197.45709008985443,3,8,7,1,348508.81671801844,
72.08427804203603,1.0,1.0,169.10932105644173,3,6,4,24,487810.3703524272,
116.57271700935352,2.0,2.0,175.8101959448419,3,7,9,36,788873.5491553417,
155.29079948438738,3.0,2.0,183.2884182320019,0,5,4,14,808374.9537710287,
45.085057647897045,3.0,2.0,90.54992762031037,0,1,9,7,234692.7925729889,
70.67285099370011,1.0,1.0,265.2866806990579,2,9,5,5,441469.7806534987,
33.88501223689295,3.0,3.0,76.88387091484334,0,0,9,13,176390.32892790917,
110.60818465410283,2.0,2.0,220.8776799404023,2,7,7,21,690932.5197886988,
91.35705267942784,1.0,1.0,116.3984937966112,3,7,7,44,618233.5304221235,
36.65070554633759,2.0,2.0,134.97836618742235,0,4,9,29,190787.3003427671,
119.54327464743504,3.0,1.0,161.81951041988475,2,4,6,42,746747.0534322794,
76.17590836405616,2.0,2.0,265.6376724739364,3,2,5,49,515499.3443831572,
145.13403949948093,1.0,1.0,201.17792263431505,0,8,8,12,755503.3708406591,
44.17494071907089,4.0,3.0,215.07749726770354,3,4,9,13,298941.6663075985,
104.70676615680927,3.0,1.0,207.24943729921785,0,2,9,23,545056.9353275457,
97.6129096921948,2.0,1.0,186.14390483369976,2,3,4,4,609755.3618518151,
105.75616543964624,4.0,1.0,195.9271077704196,1,0,4,15,605571.6062725106,
55.75132887874438,2.0,1.0,139.41919450563523,0,8,5,36,290216.66482926084,
28.3291807186326,3.0,1.0,205.63197585540664,0,7,7,1,147469.13680548168,
143.51979761959547,2.0,2.0,153.9763315264883,0,5,4,1,747100.344329363,
34.95732319618285,3.0,1.0,102.42392177522983,2,5,9,20,218366.76441747046,
127.7980869147516,2.0,1.0,142.39144848664012,2,7,6,13,798312.1185138184,
139.4455257215298,2.0,1.0,235.8321603283203,1,7,8,5,798480.6431630014,
155.3599479278823,1.0,2.0,229.85010388565462,1,2,8,17,889608.4008529272,
145.72257621782958,1.0,1.0,115.87103800206606,1,5,9,32,834423.7348578984,
157.70436994514947,4.0,1.0,114.5636610264297,3,8,7,18,1067220.6089693764,
118.1204879166278,3.0,1.0,217.74691378099442,0,4,9,30,614882.8151832349,
76.10284046604204,2.0,1.0,174.34899879382655,1,3,4,3,435773.35800078965,
83.66003588525345,3.0,1.0,272.01669672681714,0,7,9,21,435497.00217766996,
32.89585307148453,4.0,3.0,143.58050817942572,2,7,9,41,205489.44659346712,
81.19285540806726,2.0,1.0,257.7337775956843,1,2,5,16,464919.351632266,
72.59596195829968,4.0,1.0,260.2813080872785,3,0,8,21,491273.04942025937,
142.07553649684164,2.0,2.0,127.37560485847743,1,6,4,12,813540.3783859893,
33.411975967439375,1.0,2.0,176.5756195615078,1,3,8,35,191320.70334838028,
62.702596954608694,2.0,1.0,255.64014530221223,3,3,9,35,424322.44413476414,
47.29934364681786,2.0,3.0,244.37117454683644,2,7,9,35,295463.25882164465,
74.1758385453231,2.0,3.0,226.35393189141877,2,7,5,47,463351.7781150812,
75.93843217076058,2.0,2.0,103.06199819239077,1,4,9,43,434831.9377531452,
153.87849398935535,3.0,1.0,150.59064499819846,1,5,6,1,881125.4302625791,
97.87827053984466,3.0,1.0,137.9695266923459,0,1,5,4,509510.818963811,
62.04413391462941,2.0,3.0,129.9847832363707,2,2,8,6,387569.05664622743,
109.00955269345913,4.0,1.0,249.66368329111427,0,6,7,12,567455.3316214655,
123.88424076257186,3.0,1.0,236.12075431926775,0,4,5,29,644886.3534215457,
85.84497391132763,2.0,3.0,206.58722483088098,2,6,8,17,536244.9833277196,
119.7487693794947,3.0,3.0,220.86097730714852,1,4,8,4,685694.8180830299,
98.42958992163501,3.0,1.0,129.5958039157389,1,3,6,25,563618.8171705748,
158.07739287388029,2.0,1.0,129.27265586323426,1,1,8,48,905168.7938953947,
110.54401948864876,2.0,1.0,265.8715925628708,3,8,7,8,748076.00980005,
69.10938603312104,1.0,1.0,93.53703900776674,1,8,6,41,395728.0574102112,
87.58134433108131,2.0,3.0,162.14605540748988,3,8,9,11,592682.4707766956,
42.939621629244044,4.0,1.0,98.50579550467987,0,9,7,28,223524.60522283177,
27.329444800036818,3.0,1.0,190.43655862211597,3,6,7,6,184944.44213837927,
73.50928588658769,2.0,1.0,103.65896256155192,3,6,8,41,497453.7159374449,
104.9103080701541,3.0,1.0,145.50266175732634,2,8,6,40,655339.7809881829,
127.92842530898186,3.0,1.0,236.61238968809022,1,3,5,48,732532.4408295054,
40.261902341101504,2.0,3.0,146.77368647542454,3,7,4,41,272461.2637536966,
31.445866748148262,2.0,3.0,270.60912647160956,2,5,8,13,196431.8645784031,
133.690127425102,2.0,2.0,88.78417756670677,0,5,8,16,695931.4456216389,
137.75808527993115,1.0,1.0,218.04111278766462,3,1,4,14,932239.6564790009,
116.41561661009823,1.0,1.0,209.85102617899224,2,8,5,40,727209.6145390145,
30.902106625969296,2.0,1.0,218.29907067325527,0,3,5,23,160862.64671273596,
69.6338526095316,1.0,2.0,100.21957786304986,0,0,4,27,362482.91960006324,
34.203204249811805,3.0,1.0,100.59672505770459,2,3,7,40,213656.0343257872,
142.94724125921766,2.0,1.0,270.05505463060416,1,0,9,42,818531.8571423623,
93.38649545551152,2.0,1.0,244.4130570832488,3,8,6,3,631967.2218608188,
67.43913813806041,3.0,1.0,100.5090216639937,3,9,9,36,456375.6736551003,
155.0463181155603,1.0,1.0,243.39869855969536,0,5,6,4,807102.29231343,
35.94798571464962,3.0,1.0,88.77377863596587,2,7,7,41,224555.10348374292,
98.30004000071555,3.0,1.0,195.5428876153851,0,7,8,31,511706.3635135563,
102.5937474790995,3.0,1.0,237.87756042956573,1,4,8,26,587463.2480873206,
66.01651754380747,1.0,3.0,152.56767211079844,1,2,4,6,378017.9472594027,
108.25316108089207,2.0,1.0,77.1122596184983,1,0,6,16,619869.681992622,
86.2856246394468,3.0,1.0,87.98877746643524,0,6,8,3,449164.6514836172,
99.54989609022894,4.0,1.0,269.4571082096283,2,2,8,27,621855.0712627906,
147.26802689794255,4.0,1.0,77.38627461045517,2,9,8,22,919934.3541086765,
112.79041474423869,3.0,1.0,80.46392668762512,2,2,7,2,704564.1849285926,
145.51221611221433,3.0,1.0,81.81461479816126,1,0,4,13,833219.1894158099,
22.814426968003986,1.0,2.0,254.73423356252155,1,6,7,41,130637.95503332191,
110.31468423906419,2.0,1.0,106.30900370504715,2,9,6,25,689099.1203711435,
64.53556946036592,1.0,1.0,154.24379826795038,3,0,4,32,436726.57747931714,
94.09507857616957,2.0,1.0,247.7886568004388,0,7,7,28,489817.2013193848,
73.22867715384581,4.0,1.0,76.64315082071431,1,1,4,39,419315.57810284616,
44.66363432314743,2.0,1.0,126.4100946424812,3,8,8,14,302248.7648104707,
63.28078522803497,3.0,1.0,83.19503694213086,3,5,8,23,428235.1730051154,
42.54177772379816,1.0,2.0,230.78432958851624,2,6,9,15,265744.32779016136,
52.68435582984665,2.0,1.0,185.7902081140429,0,1,4,12,274251.3648575201,
24.504872636241398,3.0,1.0,183.99634751902204,2,6,4,12,153073.7842828466,
55.876638827888435,3.0,1.0,129.03281692929994,2,7,5,43,349042.76734501077,
121.37834473332774,3.0,1.0,234.69142226742105,0,6,7,30,631841.7712987079,
135.48579038608375,3.0,3.0,239.43219528656377,2,7,9,13,846334.6436772745,
139.71947421436332,1.0,1.0,187.52227859823844,3,9,8,22,945512.8124084057,
73.16431387732592,1.0,1.0,146.10059866333967,2,3,5,38,457033.1201434914,
37.01180875567892,1.0,2.0,244.90040527624842,1,5,6,22,211933.74765482068,
